date,symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
28-03-2008,TECHM,EQ,689.6,690.65,734,686.25,725.3,723.95,720.19,144915,1.04366E+13,,53331,0.368
31-03-2008,TECHM,EQ,723.95,730,746,699,707.4,705.25,718.78,128371,9.22699E+12,,51662,0.4024
01-04-2008,TECHM,EQ,705.25,711.9,727,691,716,715.35,708.5,50055,3.54641E+12,,19608,0.3917
02-04-2008,TECHM,EQ,715.35,744,744,725,725,725.45,727.08,82872,6.02542E+12,,48623,0.5867
03-04-2008,TECHM,EQ,725.45,715.1,735,710.25,726,726.4,728.37,55695,4.05665E+12,,16695,0.2998
04-04-2008,TECHM,EQ,726.4,734,735,707.1,710,710.2,720.14,64218,4.62458E+12,,36134,0.5627
07-04-2008,TECHM,EQ,710.2,718,748,700.2,744.5,742.85,733.21,97577,7.1544E+12,,51470,0.5275
08-04-2008,TECHM,EQ,742.85,745.35,845.9,741,825.05,829.25,799.38,568299,4.54289E+13,,217000,0.3818
09-04-2008,TECHM,EQ,829.25,829.25,872.7,797.15,802,805.8,836.5,540114,4.51808E+13,,105990,0.1962
10-04-2008,TECHM,EQ,805.8,824,840,804.9,829.9,829.95,826.77,271335,2.24332E+13,,102702,0.3785
11-04-2008,TECHM,EQ,829.95,840,844.9,813.05,822,823.15,827.06,126868,1.04928E+13,,32327,0.2548
15-04-2008,TECHM,EQ,823.15,810.5,864.7,806.05,861.9,859.85,851.93,254174,2.16538E+13,,110754,0.4357
16-04-2008,TECHM,EQ,859.85,865,929.7,865,918,913.35,895.93,299142,2.6801E+13,,108984,0.3643
17-04-2008,TECHM,EQ,913.35,930,950,920.5,928,931.55,938.91,209309,1.96523E+13,,84214,0.4023
21-04-2008,TECHM,EQ,931.55,938,949.8,873,879,880.15,902.63,190997,1.724E+13,,75414,0.3948
22-04-2008,TECHM,EQ,880.15,856.15,875.2,840,841.75,846.1,853.75,118649,1.01297E+13,,45098,0.3801
23-04-2008,TECHM,EQ,846.1,840,876.9,830.15,832,834.7,849.95,152194,1.29357E+13,,42726,0.2807
